Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day19,Week10,09-03-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Ensemble techniques: Bagging (RF) & Boosting (GBM),Dr. Sreerama Murthy,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,['Ensembles Bagging (RF) & Boosting (GBM)'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day20,Week10,10-03-2019,CSE 7305c,Methods and Algorithms in Machine Learning,SVM and Summary on Architecting ML Solutions,Dr. Sreerama Murthy,Dr. Anand Jayaraman,13.44,Dr. Manish Gupta,12.6,Dr. Sreerama Murthy,12.6,Dr. Praphul Chandra,9.6,Dr. Manoj Duse,8,"['SVM', ' Architecting ML Solutions']","{'Dr. Praphul Chandra': 9.600000000000003, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 13.440000000000003, 'Dr. Manoj Duse': 8.000000000000002, 'Dr. Manish Gupta': 12.600000000000003, 'Dr. Sreerama Murthy': 12.600000000000003, 'Dr. Anand Narasimhamurthy': 3.2}"
Day21,Week11,16-03-2019,CUTe,CSE 7305c,,,,,,,,,,,,,,
Day22,Week11,17-03-2019,CSE 7124c,Foundations of Text Mining and Search,"Text Mining - TF-IDF, Matrix Factorization (SVD)",Dr. Manish Gupta,Dr. Kishore Konda,6.72,Dr. Manish Gupta,6.3,Dr. Praphul Chandra,4.8,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,"['Text Mining - TF-IDF, Matrix Factorization (SVD)']","{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Kishore Konda': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 1.6}"
Day23,Week12,23-03-2019,CSE 7124c,Foundations of Text Mining and Search,"Text Mining – Page Rank, Text Classification & Sentiment Analysis",Dr. Manish Gupta,Dr. Surya Kompalli,6.72,Dr. Manish Gupta,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Sreerama Murthy,4.2,"['Text Mining - Page Rank, Text Classification & Sentiment Analysis']","{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
Day24,Week12,24-03-2019,CSE 7120c,The Art and Science of Storytelling with Data Visualizations,Art and Science of Data Visualization,Dr. Anand Lakshmanan,Dr. Sridhar Pappu,6.72,Dr. Surya Kompalli,6.72,Dr. Praphul Chandra,4.8,Dr. Sreerama Murthy,4.2,Dr. Anand Lakshmanan,3,['Art and Science of Data Visualisation'],"{'Dr. Anand Lakshmanan': 3.0, 'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Sridhar Pappu': 6.7200000000000015, 'Dr. Manoj Duse': 1.6, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
Day25,Week13,30-03-2019,LAB DAY,CSE 7120c,,,,,,,,,,,,,,
Day26,Week13,31-03-2019,CSE 7321c – AI,AI and Decision Sciences,ANN,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Dakshinamurthy Kolluru,3.36,['ANN'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 3.2, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day27,Week14,06-04-2019,MiTH,Scholarship Exam,,,,,,,,,,,,,,
Day28,Week14,07-04-2019,MiTH,Scholarship Exam,,,,,,,,,,,,,,
Day29,Week15,13-04-2019,CSE 7321c – AI,AI and Decision Sciences,Deep Learning,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Dakshinamurthy Kolluru,3.36,Dr. Surya Kompalli,3.36,['Deep Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 3.3600000000000003, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day30,Week15,14-04-2019,CSE 7321c – AI,AI and Decision Sciences,CNN,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Dakshinamurthy Kolluru,3.36,Dr. Surya Kompalli,3.36,['CNN'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 3.3600000000000003, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day31,Week16,20-04-2019,CSE 7321c – AI,AI and Decision Sciences,RNN & LSTM,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,1.6,['RNN & LSTM'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day32,Week16,21-04-2019,CSE 7321c,AI and Decision Sciences,Linear Programming,Dr. Surya Kompalli,Dr. Surya Kompalli,6.72,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Kishore Konda,3.36,['Linear Programming'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Kishore Konda': 3.3600000000000003, 'Dr. Anand Jayaraman': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 3.2}"
Day33,Week17,27-04-2019,CSE 7321c,AI and Decision Sciences,Monte Carlo Simulations & Genetic Algorithm,Dr. Surya Kompalli,Dr. Kishore Konda,6.72,Dr. Surya Kompalli,6.72,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,['Monte Carlo Simulations & Genetic Algorithm'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Kishore Konda': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day34,Week17,28-04-2019,CUTe,CSE 7321c,,,,,,,,,,,,,,
