Day,Date,Module,Module Text,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day12,12-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day13,13-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Surya Kompalli,3.36,Dr. Manoj Duse,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Manoj Duse': 3.2, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day14,14-03-2019,,Language,,,,,,,,,,,,['Language'],
Day15,15-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day16,18-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day17,19-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day18,20-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day19,21-03-2019,,Language,,,,,,,,,,,,['Language'],
Day20,22-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day21,25-03-2019,CSE 7315c,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Dakshinamurthy Kolluru,3.36,Dr. Manoj Duse,3.2,Dr. Anand Narasimhamurthy,3.2,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 3.2, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 2.1, 'Dr. Anand Narasimhamurthy': 3.2}"
Day22,26-03-2019,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,,,,,,,,,,,,['Essential Engineering Skills in Big Data Analytics Using R and Python'],
Day23,27-03-2019,CSE 7120c,Art and Science of Data Visualisation,Dr. Sridhar Pappu,Dr. Sridhar Pappu,6.72,Dr. Surya Kompalli,6.72,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,Dr. Anand Lakshmanan,3,['Art and Science of Data Visualisation'],"{'Dr. Anand Lakshmanan': 3.0, 'Dr. Praphul Chandra': 1.6, 'Dr. Sridhar Pappu': 6.7200000000000015, 'Dr. Manoj Duse': 1.6, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
