Day,Date,Module,Module Text,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day34,11-04-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Dr. Anand Jayaraman,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Anand Narasimhamurthy,4.8,Dr. Sreerama Murthy,4.2,Dr. Kishore Konda,3.36,['Statistics and Probability in Decision Modeling'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Kishore Konda': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manoj Duse': 3.2, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 4.800000000000002}"
Day35,12-04-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Dr. Anand Jayaraman,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Anand Narasimhamurthy,4.8,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,['Statistics and Probability in Decision Modeling'],"{'Dr. Praphul Chandra': 3.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Manoj Duse': 3.2, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 4.800000000000002}"
Day36,15-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Dr. Anand Jayaraman,Dr. Kishore Konda,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,['Methods and Algorithms in Machine Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Sridhar Pappu': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day37,16-04-2019,,Language,,,,,,,,,,,,['Language'],
Day38,17-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Dr. Anand Jayaraman,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,['Methods and Algorithms in Machine Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Sridhar Pappu': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day39,18-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Dr. Anand Jayaraman,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,['Methods and Algorithms in Machine Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Sridhar Pappu': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day40,19-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Dr. Anand Jayaraman,Dr. Surya Kompalli,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,['Methods and Algorithms in Machine Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Sridhar Pappu': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day41,22-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Dr. Anand Jayaraman,Dr. Kishore Konda,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,['Methods and Algorithms in Machine Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Sridhar Pappu': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day42,23-04-2019,,Language,,,,,,,,,,,,['Language'],
Day43,24-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Dr. Anand Jayaraman,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,['Methods and Algorithms in Machine Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Sridhar Pappu': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day44,25-04-2019,CSE 7321c,AI and Decision Sciences,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,1.6,['AI and Decision Sciences'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002}"
